Name;Miles per gallon;Cylinders;Engine displacement;Horsepower;Vehicle weight;Acceleration;Model year;Origin;
chevrolet chevelle malibu;18,0000;8,0000;307,0000;130,0000;3504,0000;12,0000;70,0000;1,0000;
buick skylark 320;15,0000;8,0000;350,0000;165,0000;3693,0000;11,5000;70,0000;1,0000;
plymouth satellite;18,0000;8,0000;318,0000;150,0000;3436,0000;11,0000;70,0000;1,0000;
amc rebel sst;16,0000;8,0000;304,0000;150,0000;3433,0000;12,0000;70,0000;1,0000;
ford torino;17,0000;8,0000;302,0000;140,0000;3449,0000;10,5000;70,0000;1,0000;
ford galaxie 500;15,0000;8,0000;429,0000;198,0000;4341,0000;10,0000;70,0000;1,0000;
chevrolet impala;14,0000;8,0000;454,0000;220,0000;4354,0000;9,0000;70,0000;1,0000;
plymouth fury iii;14,0000;8,0000;440,0000;215,0000;4312,0000;8,5000;70,0000;1,0000;
pontiac catalina;14,0000;8,0000;455,0000;225,0000;4425,0000;10,0000;70,0000;1,0000;
amc ambassador dpl;15,0000;8,0000;390,0000;190,0000;3850,0000;8,5000;70,0000;1,0000;
citroen ds-21 pallas;;4,0000;133,0000;115,0000;3090,0000;17,5000;70,0000;2,0000;
chevrolet chevelle concours (sw);;8,0000;350,0000;165,0000;4142,0000;11,5000;70,0000;1,0000;
ford torino (sw);;8,0000;351,0000;153,0000;4034,0000;11,0000;70,0000;1,0000;
plymouth satellite (sw);;8,0000;383,0000;175,0000;4166,0000;10,5000;70,0000;1,0000;
amc rebel sst (sw);;8,0000;360,0000;175,0000;3850,0000;11,0000;70,0000;1,0000;
dodge challenger se;15,0000;8,0000;383,0000;170,0000;3563,0000;10,0000;70,0000;1,0000;
plymouth 'cuda 340;14,0000;8,0000;340,0000;160,0000;3609,0000;8,0000;70,0000;1,0000;
ford mustang boss 302;;8,0000;302,0000;140,0000;3353,0000;8,0000;70,0000;1,0000;
chevrolet monte carlo;15,0000;8,0000;400,0000;150,0000;3761,0000;9,5000;70,0000;1,0000;
buick estate wagon (sw);14,0000;8,0000;455,0000;225,0000;3086,0000;10,0000;70,0000;1,0000;
toyota corona mark ii;24,0000;4,0000;113,0000;95,0000;2372,0000;15,0000;70,0000;3,0000;
plymouth duster;22,0000;6,0000;198,0000;95,0000;2833,0000;15,5000;70,0000;1,0000;
amc hornet;18,0000;6,0000;199,0000;97,0000;2774,0000;15,5000;70,0000;1,0000;
ford maverick;21,0000;6,0000;200,0000;85,0000;2587,0000;16,0000;70,0000;1,0000;
datsun pl510;27,0000;4,0000;97,0000;88,0000;2130,0000;14,5000;70,0000;3,0000;
volkswagen 1131 deluxe sedan;26,0000;4,0000;97,0000;46,0000;1835,0000;20,5000;70,0000;2,0000;
peugeot 504;25,0000;4,0000;110,0000;87,0000;2672,0000;17,5000;70,0000;2,0000;
audi 100 ls;24,0000;4,0000;107,0000;90,0000;2430,0000;14,5000;70,0000;2,0000;
saab 99e;25,0000;4,0000;104,0000;95,0000;2375,0000;17,5000;70,0000;2,0000;
bmw 2002;26,0000;4,0000;121,0000;113,0000;2234,0000;12,5000;70,0000;2,0000;
amc gremlin;21,0000;6,0000;199,0000;90,0000;2648,0000;15,0000;70,0000;1,0000;
ford f250;10,0000;8,0000;360,0000;215,0000;4615,0000;14,0000;70,0000;1,0000;
chevy c20;10,0000;8,0000;307,0000;200,0000;4376,0000;15,0000;70,0000;1,0000;
dodge d200;11,0000;8,0000;318,0000;210,0000;4382,0000;13,5000;70,0000;1,0000;
hi 1200d;9,0000;8,0000;304,0000;193,0000;4732,0000;18,5000;70,0000;1,0000;
datsun pl510;27,0000;4,0000;97,0000;88,0000;2130,0000;14,5000;71,0000;3,0000;
chevrolet vega 2300;28,0000;4,0000;140,0000;90,0000;2264,0000;15,5000;71,0000;1,0000;
